,programTime,relativeTime,torque,unit
0,1340,0,-0.0,ozin
1,1462,0,-0.0,ozin
2,1584,0,-0.0,ozin
3,1704,0,-0.0,ozin
4,1826,0,-0.0,ozin
5,1947,0,-0.0,ozin
6,2069,0,-0.0,ozin
7,2191,0,-0.0,ozin
8,2313,0,-0.0,ozin
9,2436,0,-0.0,ozin
10,2555,0,0.0,ozin
11,2676,0,0.0,ozin
12,2797,0,0.0,ozin
13,2917,0,0.0,ozin
14,3038,0,0.0,ozin
15,3159,0,0.0,ozin
16,3279,0,0.0,ozin
17,3400,0,0.0,ozin
18,3521,0,0.0,ozin
19,3641,0,0.0,ozin
20,3762,0,0.0,ozin
21,3883,0,0.0,ozin
22,4002,0,0.0,ozin
23,4123,0,0.0,ozin
24,4243,0,0.1,ozin
25,4363,0,0.1,ozin
26,4483,0,0.1,ozin
27,4603,0,0.1,ozin
28,4723,0,0.2,ozin
29,4843,0,0.2,ozin
30,4963,0,0.2,ozin
31,5083,0,0.2,ozin
32,5202,0,0.2,ozin
33,5321,0,0.3,ozin
34,5442,0,0.3,ozin
35,5561,0,0.3,ozin
36,5681,0,0.3,ozin
37,5800,0,0.3,ozin
38,5920,0,0.3,ozin
39,6040,0,0.3,ozin
40,6160,0,0.3,ozin
41,6281,0,0.3,ozin
42,6401,0,0.3,ozin
43,6520,0,0.3,ozin
44,6641,0,0.4,ozin
45,6761,0,0.4,ozin
46,6881,0,0.4,ozin
47,7001,0,0.4,ozin
48,7121,0,0.4,ozin
49,7241,0,0.4,ozin
50,7361,0,0.4,ozin
51,7481,0,0.4,ozin
52,7602,0,0.4,ozin
53,7721,0,0.4,ozin
54,7841,0,0.4,ozin
55,7961,0,0.4,ozin
56,8082,0,0.4,ozin
57,8202,0,0.3,ozin
58,8322,0,0.3,ozin
59,8441,0,0.2,ozin
60,8561,0,0.2,ozin
61,8681,0,0.2,ozin
62,8801,0,0.1,ozin
63,8922,0,0.1,ozin
64,9041,0,0.0,ozin
65,9162,0,0.0,ozin
66,9284,0,-0.0,ozin
67,9405,0,-0.0,ozin
68,9527,0,-0.0,ozin
69,9648,0,0.0,ozin
70,9768,0,0.0,ozin
71,9888,0,0.0,ozin
72,10009,0,0.0,ozin
73,10130,0,0.0,ozin
74,10250,0,0.0,ozin
75,10371,0,0.0,ozin
76,10491,0,0.0,ozin
77,10611,0,0.0,ozin
78,10732,0,0.0,ozin
