programTime (s),relativeTime (s),torque (ozin),torque (gfcm),torque (inlb),torque (mNm)
1.341,0.0,-0.009999999776482582,-0.7200778902250046,-0.0006249999790301615,-0.07061551842162013
1.463,0.0,-0.009999999776482582,-0.7200778902250046,-0.0006249999790301615,-0.07061551842162013
1.585,0.0,-0.009999999776482582,-0.7200778902250046,-0.0006249999790301615,-0.07061551842162013
1.707,0.0,-0.0,-0.0,-0.0,-0.0
1.828,0.0,-0.0,-0.0,-0.0,-0.0
1.95,0.0,0.0,0.0,0.0,0.0
2.071,0.0,0.0,0.0,0.0,0.0
2.193,0.0,0.0,0.0,0.0,0.0
2.314,0.0,0.0,0.0,0.0,0.0
2.436,0.0,0.0,0.0,0.0,0.0
2.556,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
2.677,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
2.798,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
2.919,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
3.04,0.0,0.0,0.0,0.0,0.0
3.162,0.0,0.0,0.0,0.0,0.0
3.282,0.0,0.0,0.0,0.0,0.0
3.403,0.0,0.0,0.0,0.0,0.0
3.525,0.0,0.0,0.0,0.0,0.0
3.646,0.0,0.0,0.0,0.0,0.0
3.767,0.0,0.0,0.0,0.0,0.0
3.889,0.0,0.0,0.0,0.0,0.0
4.009,0.0,0.0,0.0,0.0,0.0
4.131,0.0,0.0,0.0,0.0,0.0
4.252,0.0,0.0,0.0,0.0,0.0
4.374,0.0,0.0,0.0,0.0,0.0
4.495,0.0,0.0,0.0,0.0,0.0
4.616,0.0,0.0,0.0,0.0,0.0
4.737,0.0,0.0,0.0,0.0,0.0
4.858,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
4.979,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.1,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.221,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.342,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.463,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.583,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.705,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.826,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
5.947,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
6.068,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
6.189,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
6.309,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
6.431,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
6.552,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
6.673,0.0,0.009999999776482582,0.7200778902250046,0.0006249999790301615,0.07061551842162013
6.794,0.0,0.019999999552965164,1.4401557804500091,0.001249999958060323,0.14123103684324026
6.915,0.0,0.019999999552965164,1.4401557804500091,0.001249999958060323,0.14123103684324026
7.035,0.0,0.019999999552965164,1.4401557804500091,0.001249999958060323,0.14123103684324026
7.157,0.0,0.019999999552965164,1.4401557804500091,0.001249999958060323,0.14123103684324026
